pruid,prname,prnameFR,sdate,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
35,Ontario,Ontario,1/31/2020,3,0,0,3,3,0.02
59,British Columbia,Colombie-Britannique,1/31/2020,1,0,0,1,1,0.02
1,Canada,Canada,1/31/2020,4,0,0,4,4,0.01
35,Ontario,Ontario,2/8/2020,3,0,0,3,0,0.02
59,British Columbia,Colombie-Britannique,2/8/2020,4,0,0,4,3,0.08
1,Canada,Canada,2/8/2020,7,0,0,7,3,0.02
35,Ontario,Ontario,2/16/2020,3,0,0,3,0,0.02
59,British Columbia,Colombie-Britannique,2/16/2020,5,0,0,5,1,0.1
1,Canada,Canada,2/16/2020,8,0,0,8,1,0.02
35,Ontario,Ontario,2/21/2020,3,0,0,3,0,0.02
59,British Columbia,Colombie-Britannique,2/21/2020,6,0,0,6,1,0.12
1,Canada,Canada,2/21/2020,9,0,0,9,1,0.02
35,Ontario,Ontario,2/24/2020,4,0,0,4,1,0.03
59,British Columbia,Colombie-Britannique,2/24/2020,6,0,0,6,0,0.12
1,Canada,Canada,2/24/2020,10,0,0,10,1,0.03
35,Ontario,Ontario,2/25/2020,4,0,0,4,0,0.03
59,British Columbia,Colombie-Britannique,2/25/2020,7,0,0,7,1,0.14
1,Canada,Canada,2/25/2020,11,0,0,11,1,0.03
35,Ontario,Ontario,2/26/2020,5,0,0,5,1,0.03
59,British Columbia,Colombie-Britannique,2/26/2020,7,0,0,7,0,0.14
1,Canada,Canada,2/26/2020,12,0,0,12,1,0.03
35,Ontario,Ontario,2/27/2020,6,0,0,6,1,0.04
59,British Columbia,Colombie-Britannique,2/27/2020,7,0,0,7,0,0.14
1,Canada,Canada,2/27/2020,13,0,0,13,1,0.03
35,Ontario,Ontario,2/29/2020,8,0,0,8,2,0.05
59,British Columbia,Colombie-Britannique,2/29/2020,7,0,0,7,0,0.14
1,Canada,Canada,2/29/2020,15,0,0,15,2,0.04
35,Ontario,Ontario,3/1/2020,15,0,0,15,7,0.1
59,British Columbia,Colombie-Britannique,3/1/2020,8,0,0,8,1,0.16
24,Quebec,Québec,3/1/2020,1,0,0,1,1,0.01
1,Canada,Canada,3/1/2020,24,0,0,24,9,0.06
35,Ontario,Ontario,3/3/2020,20,0,0,20,5,0.14
59,British Columbia,Colombie-Britannique,3/3/2020,12,0,0,12,4,0.24
24,Quebec,Québec,3/3/2020,1,0,0,1,0,0.01
1,Canada,Canada,3/3/2020,33,0,0,33,9,0.09
35,Ontario,Ontario,3/5/2020,22,0,0,22,2,0.15
59,British Columbia,Colombie-Britannique,3/5/2020,21,0,0,21,9,0.41
24,Quebec,Québec,3/5/2020,2,0,0,2,1,0.02
1,Canada,Canada,3/5/2020,45,0,0,45,12,0.12
35,Ontario,Ontario,3/6/2020,28,0,0,28,6,0.19
59,British Columbia,Colombie-Britannique,3/6/2020,21,0,0,21,0,0.41
24,Quebec,Québec,3/6/2020,2,0,0,2,0,0.02
1,Canada,Canada,3/6/2020,51,0,0,51,6,0.14
35,Ontario,Ontario,3/7/2020,28,0,0,28,0,0.19
59,British Columbia,Colombie-Britannique,3/7/2020,27,0,0,27,6,0.53
24,Quebec,Québec,3/7/2020,2,0,0,2,0,0.02
1,Canada,Canada,3/7/2020,57,0,0,57,6,0.15
35,Ontario,Ontario,3/8/2020,31,0,0,31,3,0.21
59,British Columbia,Colombie-Britannique,3/8/2020,27,0,1,27,0,0.53
24,Quebec,Québec,3/8/2020,3,0,0,3,1,0.04
48,Alberta,Alberta,3/8/2020,1,0,0,1,1,0.02
1,Canada,Canada,3/8/2020,62,0,1,62,5,0.16
35,Ontario,Ontario,3/9/2020,34,0,0,34,3,0.23
59,British Columbia,Colombie-Britannique,3/9/2020,32,0,1,32,5,0.63
24,Quebec,Québec,3/9/2020,4,0,0,4,1,0.05
48,Alberta,Alberta,3/9/2020,7,0,0,7,6,0.16
1,Canada,Canada,3/9/2020,77,0,1,77,15,0.2
59,British Columbia,Colombie-Britannique,3/11/2020,39,0,1,39,7,0.77
48,Alberta,Alberta,3/11/2020,14,0,0,14,7,0.32
47,Saskatchewan,Saskatchewan,3/11/2020,0,0,0,0,0,0
46,Manitoba,Manitoba,3/11/2020,0,0,0,0,0,0
35,Ontario,Ontario,3/11/2020,42,0,1,42,8,0.29
24,Quebec,Québec,3/11/2020,7,0,0,7,3,0.08
13,New Brunswick,Nouveau-Brunswick,3/11/2020,0,0,0,0,0,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/11/2020,0,0,0,0,0,0
12,Nova Scotia,Nouvelle-Écosse,3/11/2020,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,3/11/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/11/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/11/2020,0,0,0,0,0,0
60,Yukon,Yukon,3/11/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/11/2020,1,0,0,1,1,
1,Canada,Canada,3/11/2020,103,0,2,103,26,0.27
59,British Columbia,Colombie-Britannique,3/12/2020,46,0,1,46,7,0.91
48,Alberta,Alberta,3/12/2020,19,0,0,19,5,0.43
47,Saskatchewan,Saskatchewan,3/12/2020,0,1,0,1,1,0.09
46,Manitoba,Manitoba,3/12/2020,0,1,0,1,1,0.07
35,Ontario,Ontario,3/12/2020,59,0,1,59,17,0.41
24,Quebec,Québec,3/12/2020,13,0,0,13,6,0.15
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/12/2020,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,3/12/2020,0,1,0,1,1,0.13
12,Nova Scotia,Nouvelle-Écosse,3/12/2020,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,3/12/2020,0,0,0,0,0,0
60,Yukon,Yukon,3/12/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/12/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/12/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/12/2020,1,0,0,1,0,
1,Canada,Canada,3/12/2020,138,3,2,141,38,0.38
59,British Columbia,Colombie-Britannique,3/13/2020,53,0,1,53,7,1.05
48,Alberta,Alberta,3/13/2020,23,0,0,23,4,0.53
47,Saskatchewan,Saskatchewan,3/13/2020,0,1,0,1,0,0.09
46,Manitoba,Manitoba,3/13/2020,1,2,0,3,2,0.22
35,Ontario,Ontario,3/13/2020,79,0,1,79,20,0.54
24,Quebec,Québec,3/13/2020,17,0,0,17,4,0.2
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/13/2020,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,3/13/2020,1,0,0,1,0,0.13
12,Nova Scotia,Nouvelle-Écosse,3/13/2020,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,3/13/2020,0,0,0,0,0,0
60,Yukon,Yukon,3/13/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/13/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/13/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/13/2020,2,0,0,2,1,
1,Canada,Canada,3/13/2020,176,3,2,179,38,0.48
59,British Columbia,Colombie-Britannique,3/14/2020,64,0,1,64,11,1.26
48,Alberta,Alberta,3/14/2020,29,0,0,29,6,0.66
47,Saskatchewan,Saskatchewan,3/14/2020,0,2,0,2,1,0.17
46,Manitoba,Manitoba,3/14/2020,1,3,0,4,1,0.29
35,Ontario,Ontario,3/14/2020,79,0,1,79,0,0.54
24,Quebec,Québec,3/14/2020,17,0,0,17,0,0.2
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/14/2020,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,3/14/2020,1,1,0,2,1,0.26
12,Nova Scotia,Nouvelle-Écosse,3/14/2020,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,3/14/2020,0,0,0,0,0,0
60,Yukon,Yukon,3/14/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/14/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/14/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/14/2020,2,0,0,2,0,
1,Canada,Canada,3/14/2020,193,6,2,199,20,0.53
59,British Columbia,Colombie-Britannique,3/15/2020,73,0,1,73,9,1.44
48,Alberta,Alberta,3/15/2020,39,0,0,39,10,0.89
47,Saskatchewan,Saskatchewan,3/15/2020,0,2,0,2,0,0.17
46,Manitoba,Manitoba,3/15/2020,4,0,0,4,0,0.29
35,Ontario,Ontario,3/15/2020,103,0,1,103,24,0.71
24,Quebec,Québec,3/15/2020,24,0,0,24,7,0.28
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/15/2020,0,1,0,1,1,0.19
13,New Brunswick,Nouveau-Brunswick,3/15/2020,1,1,0,2,0,0.26
12,Nova Scotia,Nouvelle-Écosse,3/15/2020,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,3/15/2020,1,0,0,1,1,0.64
60,Yukon,Yukon,3/15/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/15/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/15/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/15/2020,4,0,0,4,2,
1,Canada,Canada,3/15/2020,249,4,2,253,54,0.67
59,British Columbia,Colombie-Britannique,3/16/2020,73,0,4,73,0,1.44
48,Alberta,Alberta,3/16/2020,56,0,0,56,17,1.28
47,Saskatchewan,Saskatchewan,3/16/2020,1,5,0,6,4,0.51
46,Manitoba,Manitoba,3/16/2020,4,3,0,7,3,0.51
35,Ontario,Ontario,3/16/2020,145,0,1,145,42,1
24,Quebec,Québec,3/16/2020,39,0,0,39,15,0.46
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/16/2020,0,1,0,1,0,0.19
13,New Brunswick,Nouveau-Brunswick,3/16/2020,1,5,0,6,4,0.77
12,Nova Scotia,Nouvelle-Écosse,3/16/2020,0,3,0,3,3,0.31
11,Prince Edward Island,Île-du-Prince-Édouard,3/16/2020,1,0,0,1,0,0.64
60,Yukon,Yukon,3/16/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/16/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/16/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/16/2020,4,0,0,4,0,
1,Canada,Canada,3/16/2020,324,17,5,341,88,0.91
59,British Columbia,Colombie-Britannique,3/17/2020,103,0,7,103,30,2.03
48,Alberta,Alberta,3/17/2020,74,0,0,74,18,1.69
47,Saskatchewan,Saskatchewan,3/17/2020,2,5,0,7,1,0.6
46,Manitoba,Manitoba,3/17/2020,7,0,0,7,0,0.51
35,Ontario,Ontario,3/17/2020,177,0,1,177,32,1.22
24,Quebec,Québec,3/17/2020,50,0,0,50,11,0.59
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/17/2020,0,1,0,1,0,0.19
13,New Brunswick,Nouveau-Brunswick,3/17/2020,2,5,0,7,1,0.9
12,Nova Scotia,Nouvelle-Écosse,3/17/2020,0,5,0,5,2,0.51
11,Prince Edward Island,Île-du-Prince-Édouard,3/17/2020,1,0,0,1,0,0.64
60,Yukon,Yukon,3/17/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/17/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/17/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/17/2020,8,0,0,8,4,
1,Canada,Canada,3/17/2020,424,16,8,440,99,1.17
59,British Columbia,Colombie-Britannique,3/18/2020,186,0,7,186,83,3.67
48,Alberta,Alberta,3/18/2020,97,0,0,97,23,2.22
47,Saskatchewan,Saskatchewan,3/18/2020,2,6,0,8,1,0.68
46,Manitoba,Manitoba,3/18/2020,8,7,0,15,8,1.1
35,Ontario,Ontario,3/18/2020,189,0,1,189,12,1.3
24,Quebec,Québec,3/18/2020,74,0,1,74,24,0.87
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/18/2020,0,3,0,3,2,0.58
13,New Brunswick,Nouveau-Brunswick,3/18/2020,2,6,0,8,1,1.03
12,Nova Scotia,Nouvelle-Écosse,3/18/2020,1,6,0,7,2,0.72
11,Prince Edward Island,Île-du-Prince-Édouard,3/18/2020,1,0,0,1,0,0.64
60,Yukon,Yukon,3/18/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/18/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/18/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/18/2020,9,0,0,9,1,
1,Canada,Canada,3/18/2020,569,28,9,597,157,1.59
59,British Columbia,Colombie-Britannique,3/19/2020,271,0,8,271,85,5.34
48,Alberta,Alberta,3/19/2020,146,0,1,146,49,3.34
47,Saskatchewan,Saskatchewan,3/19/2020,8,12,0,20,12,1.7
46,Manitoba,Manitoba,3/19/2020,17,0,0,17,2,1.24
35,Ontario,Ontario,3/19/2020,258,0,2,258,69,1.77
24,Quebec,Québec,3/19/2020,121,0,1,121,47,1.43
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/19/2020,1,2,0,3,0,0.58
13,New Brunswick,Nouveau-Brunswick,3/19/2020,7,4,0,11,3,1.42
12,Nova Scotia,Nouvelle-Écosse,3/19/2020,5,9,0,14,7,1.44
11,Prince Edward Island,Île-du-Prince-Édouard,3/19/2020,2,0,0,2,1,1.27
60,Yukon,Yukon,3/19/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/19/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/19/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/19/2020,10,0,0,10,1,
1,Canada,Canada,3/19/2020,846,27,12,873,276,2.32
59,British Columbia,Colombie-Britannique,3/20/2020,271,0,9,271,0,5.34
48,Alberta,Alberta,3/20/2020,195,0,1,195,49,4.46
47,Saskatchewan,Saskatchewan,3/20/2020,8,18,0,26,6,2.21
46,Manitoba,Manitoba,3/20/2020,17,0,0,17,0,1.24
35,Ontario,Ontario,3/20/2020,311,0,2,311,53,2.14
24,Quebec,Québec,3/20/2020,139,0,1,139,18,1.64
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/20/2020,3,1,0,4,1,0.77
13,New Brunswick,Nouveau-Brunswick,3/20/2020,7,4,0,11,0,1.42
12,Nova Scotia,Nouvelle-Écosse,3/20/2020,5,10,0,15,1,1.54
11,Prince Edward Island,Île-du-Prince-Édouard,3/20/2020,2,0,0,2,0,1.27
60,Yukon,Yukon,3/20/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/20/2020,0,0,0,0,0,0
62,Nunavut,Nunavut,3/20/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/20/2020,13,0,0,13,3,
1,Canada,Canada,3/20/2020,971,33,13,1004,131,2.67
59,British Columbia,Colombie-Britannique,3/21/2020,424,0,10,424,153,8.36
48,Alberta,Alberta,3/21/2020,226,0,1,226,31,5.17
47,Saskatchewan,Saskatchewan,3/21/2020,25,19,0,44,18,3.75
46,Manitoba,Manitoba,3/21/2020,11,8,0,19,2,1.39
35,Ontario,Ontario,3/21/2020,377,0,3,377,66,2.59
24,Quebec,Québec,3/21/2020,202,19,4,221,82,2.6
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/21/2020,3,3,0,6,2,1.15
13,New Brunswick,Nouveau-Brunswick,3/21/2020,9,8,0,17,6,2.19
12,Nova Scotia,Nouvelle-Écosse,3/21/2020,9,12,0,21,6,2.16
11,Prince Edward Island,Île-du-Prince-Édouard,3/21/2020,2,0,0,2,0,1.27
60,Yukon,Yukon,3/21/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/21/2020,1,0,0,1,1,2.23
62,Nunavut,Nunavut,3/21/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/21/2020,13,0,0,13,0,
1,Canada,Canada,3/21/2020,1302,69,18,1371,367,3.65
59,British Columbia,Colombie-Britannique,3/22/2020,424,0,10,424,0,8.36
48,Alberta,Alberta,3/22/2020,259,0,1,259,33,5.92
47,Saskatchewan,Saskatchewan,3/22/2020,33,19,0,52,8,4.43
46,Manitoba,Manitoba,3/22/2020,11,8,0,19,0,1.39
35,Ontario,Ontario,3/22/2020,425,0,5,425,48,2.92
24,Quebec,Québec,3/22/2020,221,0,4,221,0,2.6
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/22/2020,3,6,0,9,3,1.73
13,New Brunswick,Nouveau-Brunswick,3/22/2020,9,8,0,17,0,2.19
12,Nova Scotia,Nouvelle-Écosse,3/22/2020,28,0,0,28,7,2.88
11,Prince Edward Island,Île-du-Prince-Édouard,3/22/2020,3,0,0,3,1,1.91
60,Yukon,Yukon,3/22/2020,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/22/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/22/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/22/2020,13,0,0,13,0,
1,Canada,Canada,3/22/2020,1430,41,20,1471,100,3.91
59,British Columbia,Colombie-Britannique,3/23/2020,472,0,13,472,48,9.31
48,Alberta,Alberta,3/23/2020,301,0,1,301,42,6.89
47,Saskatchewan,Saskatchewan,3/23/2020,65,1,0,66,14,5.62
46,Manitoba,Manitoba,3/23/2020,11,9,0,20,1,1.46
35,Ontario,Ontario,3/23/2020,503,0,6,503,78,3.45
24,Quebec,Québec,3/23/2020,221,407,4,628,407,7.4
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/23/2020,4,20,0,24,15,4.6
13,New Brunswick,Nouveau-Brunswick,3/23/2020,9,8,0,17,0,2.19
12,Nova Scotia,Nouvelle-Écosse,3/23/2020,41,0,0,41,13,4.22
11,Prince Edward Island,Île-du-Prince-Édouard,3/23/2020,3,0,0,3,0,1.91
60,Yukon,Yukon,3/23/2020,2,0,0,2,2,4.9
61,Northwest Territories,Territoires du Nord-Ouest,3/23/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/23/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/23/2020,13,0,0,13,0,
1,Canada,Canada,3/23/2020,1646,445,24,2091,620,5.56
59,British Columbia,Colombie-Britannique,3/24/2020,617,0,13,617,145,12.17
48,Alberta,Alberta,3/24/2020,358,0,2,358,57,8.19
47,Saskatchewan,Saskatchewan,3/24/2020,72,0,0,72,6,6.13
46,Manitoba,Manitoba,3/24/2020,11,10,0,21,1,1.53
35,Ontario,Ontario,3/24/2020,588,0,8,588,85,4.04
24,Quebec,Québec,3/24/2020,221,792,4,1013,385,11.94
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/24/2020,4,31,0,35,11,6.71
13,New Brunswick,Nouveau-Brunswick,3/24/2020,18,0,0,18,1,2.32
12,Nova Scotia,Nouvelle-Écosse,3/24/2020,51,0,0,51,10,5.25
11,Prince Edward Island,Île-du-Prince-Édouard,3/24/2020,3,0,0,3,0,1.91
60,Yukon,Yukon,3/24/2020,2,0,0,2,0,4.9
61,Northwest Territories,Territoires du Nord-Ouest,3/24/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/24/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/24/2020,13,0,0,13,0,
1,Canada,Canada,3/24/2020,1959,833,27,2792,701,7.43
59,British Columbia,Colombie-Britannique,3/25/2020,659,0,14,659,42,12.99
48,Alberta,Alberta,3/25/2020,419,0,2,419,61,9.59
47,Saskatchewan,Saskatchewan,3/25/2020,86,0,0,86,14,7.32
46,Manitoba,Manitoba,3/25/2020,11,24,0,35,14,2.56
35,Ontario,Ontario,3/25/2020,688,0,13,688,100,4.72
24,Quebec,Québec,3/25/2020,1339,0,6,1339,326,15.78
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/25/2020,67,0,0,67,32,12.85
13,New Brunswick,Nouveau-Brunswick,3/25/2020,26,0,0,26,8,3.35
12,Nova Scotia,Nouvelle-Écosse,3/25/2020,68,0,0,68,17,7
11,Prince Edward Island,Île-du-Prince-Édouard,3/25/2020,5,0,0,5,2,3.19
60,Yukon,Yukon,3/25/2020,3,0,0,3,1,7.34
61,Northwest Territories,Territoires du Nord-Ouest,3/25/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/25/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/25/2020,13,0,0,13,0,
1,Canada,Canada,3/25/2020,3385,24,35,3409,617,9.07
59,British Columbia,Colombie-Britannique,3/26/2020,725,0,14,725,66,14.3
48,Alberta,Alberta,3/26/2020,486,0,2,486,67,11.12
47,Saskatchewan,Saskatchewan,3/26/2020,95,0,0,95,9,8.09
46,Manitoba,Manitoba,3/26/2020,11,25,0,36,1,2.63
35,Ontario,Ontario,3/26/2020,858,0,15,858,170,5.89
24,Quebec,Québec,3/26/2020,1629,0,8,1629,290,19.2
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/26/2020,82,0,0,82,15,15.72
13,New Brunswick,Nouveau-Brunswick,3/26/2020,33,0,0,33,7,4.25
12,Nova Scotia,Nouvelle-Écosse,3/26/2020,73,0,0,73,5,7.51
11,Prince Edward Island,Île-du-Prince-Édouard,3/26/2020,9,0,0,9,4,5.73
60,Yukon,Yukon,3/26/2020,3,0,0,3,0,7.34
61,Northwest Territories,Territoires du Nord-Ouest,3/26/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/26/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/26/2020,13,0,0,13,0,
1,Canada,Canada,3/26/2020,4018,25,39,4043,634,10.76
59,British Columbia,Colombie-Britannique,3/27/2020,725,0,14,725,0,14.3
48,Alberta,Alberta,3/27/2020,542,0,2,542,56,12.4
47,Saskatchewan,Saskatchewan,3/27/2020,104,0,0,104,9,8.86
46,Manitoba,Manitoba,3/27/2020,25,14,1,39,3,2.85
35,Ontario,Ontario,3/27/2020,993,0,18,993,135,6.82
24,Quebec,Québec,3/27/2020,2021,0,18,2021,392,23.82
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/27/2020,102,0,0,102,20,19.56
13,New Brunswick,Nouveau-Brunswick,3/27/2020,45,0,0,45,12,5.79
12,Nova Scotia,Nouvelle-Écosse,3/27/2020,90,0,0,90,17,9.27
11,Prince Edward Island,Île-du-Prince-Édouard,3/27/2020,11,0,0,11,2,7.01
60,Yukon,Yukon,3/27/2020,3,0,0,3,0,7.34
61,Northwest Territories,Territoires du Nord-Ouest,3/27/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/27/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/27/2020,13,0,0,13,0,
1,Canada,Canada,3/27/2020,4675,14,53,4689,646,12.47
59,British Columbia,Colombie-Britannique,3/28/2020,884,0,16,884,159,17.43
48,Alberta,Alberta,3/28/2020,542,0,2,542,0,12.4
47,Saskatchewan,Saskatchewan,3/28/2020,134,0,0,134,30,11.41
46,Manitoba,Manitoba,3/28/2020,25,39,1,64,25,4.67
35,Ontario,Ontario,3/28/2020,993,0,18,993,0,6.82
24,Quebec,Québec,3/28/2020,2498,0,22,2498,477,29.44
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/28/2020,120,0,0,120,18,23.01
13,New Brunswick,Nouveau-Brunswick,3/28/2020,51,0,0,51,6,6.57
12,Nova Scotia,Nouvelle-Écosse,3/28/2020,110,0,0,110,20,11.32
11,Prince Edward Island,Île-du-Prince-Édouard,3/28/2020,11,0,0,11,0,7.01
60,Yukon,Yukon,3/28/2020,4,0,0,4,1,9.79
61,Northwest Territories,Territoires du Nord-Ouest,3/28/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/28/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/28/2020,13,0,0,13,0,
1,Canada,Canada,3/28/2020,5386,39,59,5425,736,14.43
59,British Columbia,Colombie-Britannique,3/29/2020,884,0,17,884,0,17.43
48,Alberta,Alberta,3/29/2020,621,0,2,621,79,14.21
47,Saskatchewan,Saskatchewan,3/29/2020,134,0,0,134,0,11.41
46,Manitoba,Manitoba,3/29/2020,69,3,1,72,8,5.26
35,Ontario,Ontario,3/29/2020,1355,0,19,1355,362,9.3
24,Quebec,Québec,3/29/2020,2840,0,22,2840,342,33.47
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/29/2020,135,0,0,135,15,25.88
13,New Brunswick,Nouveau-Brunswick,3/29/2020,66,0,0,66,15,8.5
12,Nova Scotia,Nouvelle-Écosse,3/29/2020,122,0,0,122,12,12.56
11,Prince Edward Island,Île-du-Prince-Édouard,3/29/2020,11,0,0,11,0,7.01
60,Yukon,Yukon,3/29/2020,4,0,0,4,0,9.79
61,Northwest Territories,Territoires du Nord-Ouest,3/29/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/29/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/29/2020,13,0,0,13,0,
1,Canada,Canada,3/29/2020,6255,3,61,6258,833,16.65
59,British Columbia,Colombie-Britannique,3/30/2020,960,0,19,960,76,18.93
48,Alberta,Alberta,3/30/2020,690,0,8,690,69,15.78
47,Saskatchewan,Saskatchewan,3/30/2020,175,0,2,175,41,14.9
46,Manitoba,Manitoba,3/30/2020,83,13,1,96,24,7.01
35,Ontario,Ontario,3/30/2020,1706,0,33,1706,351,11.71
24,Quebec,Québec,3/30/2020,3430,0,25,3430,590,40.42
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/30/2020,148,0,1,148,13,28.38
13,New Brunswick,Nouveau-Brunswick,3/30/2020,68,0,0,68,2,8.75
12,Nova Scotia,Nouvelle-Écosse,3/30/2020,127,0,0,127,5,13.07
11,Prince Edward Island,Île-du-Prince-Édouard,3/30/2020,18,0,0,18,7,11.47
60,Yukon,Yukon,3/30/2020,5,0,0,5,1,12.24
61,Northwest Territories,Territoires du Nord-Ouest,3/30/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/30/2020,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,3/30/2020,13,0,0,13,0,
1,Canada,Canada,3/30/2020,7424,13,89,7437,1179,19.78
59,British Columbia,Colombie-Britannique,3/31/2020,970,0,19,970,10,19.13
48,Alberta,Alberta,3/31/2020,754,0,9,754,64,17.25
47,Saskatchewan,Saskatchewan,3/31/2020,184,0,2,184,9,15.67
46,Manitoba,Manitoba,3/31/2020,91,12,1,103,7,7.52
35,Ontario,Ontario,3/31/2020,1966,0,33,1966,260,13.5
24,Quebec,Québec,3/31/2020,4162,0,31,4162,732,49.05
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/31/2020,152,0,1,152,4,29.14
13,New Brunswick,Nouveau-Brunswick,3/31/2020,70,0,0,70,2,9.01
12,Nova Scotia,Nouvelle-Écosse,3/31/2020,147,0,0,147,20,15.13
11,Prince Edward Island,Île-du-Prince-Édouard,3/31/2020,21,0,0,21,3,13.38
60,Yukon,Yukon,3/31/2020,5,0,0,5,0,12.24
61,Northwest Territories,Territoires du Nord-Ouest,3/31/2020,1,0,0,1,0,2.23
62,Nunavut,Nunavut,3/31/2020,0,0,0,0,0,0
